                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
31,1.435,1.2438,1.4634,1.4956,1.5345,1.4353,0.73581,0.62798,0.70429,0.4115,1.4829,1.192,1.5101,1.528,1.3865,1.4905,0.0014258,0.0014258,0.0014258
32,1.4427,1.2547,1.465,1.5042,1.5376,1.4357,0.74588,0.6218,0.69872,0.4191,1.4455,1.1662,1.4932,1.5047,1.3713,1.4901,0.001406,0.001406,0.001406
33,1.4201,1.2159,1.4476,1.487,1.4872,1.425,0.76287,0.63206,0.71038,0.42996,1.4149,1.1152,1.4652,1.4744,1.307,1.459,0.0013862,0.0013862,0.0013862
34,1.4328,1.237,1.4528,1.5051,1.5103,1.4309,0.74868,0.61125,0.69051,0.41046,1.4464,1.1976,1.4995,1.4972,1.4218,1.4849,0.0013664,0.0013664,0.0013664
35,1.4057,1.2052,1.436,1.4757,1.4712,1.4158,0.77628,0.64123,0.73066,0.44007,1.4088,1.0926,1.4627,1.4765,1.2427,1.4663,0.0013466,0.0013466,0.0013466
36,1.3847,1.1708,1.4235,1.4627,1.4348,1.4101,0.76403,0.65382,0.7251,0.43764,1.4018,1.1109,1.4485,1.4655,1.3425,1.4512,0.0013268,0.0013268,0.0013268
37,1.3825,1.1625,1.413,1.4508,1.4403,1.3944,0.77418,0.63791,0.7275,0.44411,1.4195,1.0809,1.4835,1.4696,1.2593,1.4723,0.001307,0.001307,0.001307
38,1.3778,1.1479,1.4133,1.4515,1.4116,1.3984,0.79597,0.63218,0.7359,0.44672,1.4144,1.0825,1.4493,1.469,1.2338,1.4479,0.0012872,0.0012872,0.0012872
39,1.3702,1.1594,1.4122,1.4407,1.4294,1.393,0.77379,0.64923,0.73339,0.45092,1.3732,1.09,1.4315,1.4264,1.268,1.4258,0.0012674,0.0012674,0.0012674
40,1.3602,1.1383,1.4042,1.4385,1.3937,1.3891,0.76719,0.64222,0.72454,0.44142,1.4118,1.1187,1.46,1.4496,1.287,1.4459,0.0012476,0.0012476,0.0012476
41,1.353,1.1304,1.3988,1.4291,1.3826,1.3893,0.77932,0.65887,0.74027,0.45952,1.3837,1.0458,1.4398,1.4473,1.2123,1.4433,0.0012278,0.0012278,0.0012278
42,1.3493,1.1167,1.3934,1.4253,1.3637,1.3841,0.80124,0.68038,0.7685,0.4776,1.349,0.99049,1.4109,1.4027,1.1316,1.4058,0.001208,0.001208,0.001208
43,1.3284,1.0871,1.3839,1.4184,1.327,1.372,0.79496,0.68905,0.77754,0.48825,1.3219,0.97291,1.3897,1.3917,1.1002,1.3882,0.0011882,0.0011882,0.0011882
44,1.3328,1.094,1.3823,1.4178,1.3384,1.3722,0.80355,0.68781,0.77824,0.48642,1.3451,0.97353,1.401,1.4112,1.1019,1.4083,0.0011684,0.0011684,0.0011684
45,1.3218,1.0906,1.3795,1.4044,1.3334,1.3714,0.78475,0.69054,0.77037,0.48883,1.3213,0.96694,1.3804,1.384,1.128,1.3876,0.0011486,0.0011486,0.0011486
46,1.3156,1.0614,1.3715,1.3965,1.3046,1.3633,0.81493,0.67206,0.77522,0.48664,1.3293,0.96848,1.4007,1.3951,1.1176,1.4104,0.0011288,0.0011288,0.0011288
47,1.3,1.0584,1.3674,1.3871,1.2935,1.3638,0.81538,0.70614,0.79366,0.50751,1.283,0.92767,1.3585,1.355,1.0522,1.3756,0.001109,0.001109,0.001109
48,1.2963,1.0552,1.3585,1.3832,1.2924,1.3533,0.82232,0.69489,0.7903,0.51096,1.2861,0.90662,1.3577,1.3447,1.0405,1.3692,0.0010892,0.0010892,0.0010892
49,1.2845,1.0312,1.3554,1.365,1.265,1.3536,0.8251,0.69313,0.79079,0.51505,1.2769,0.90883,1.3556,1.338,1.0391,1.3626,0.0010694,0.0010694,0.0010694
50,1.2788,1.0239,1.3517,1.3606,1.2498,1.3482,0.82095,0.71184,0.80263,0.52068,1.2644,0.89347,1.3457,1.3351,1.0031,1.3608,0.0010496,0.0010496,0.0010496
51,1.2706,1.014,1.3411,1.3556,1.233,1.3398,0.84133,0.72076,0.8173,0.53571,1.2519,0.86632,1.3266,1.3195,0.97726,1.3405,0.0010298,0.0010298,0.0010298
52,1.269,1.0046,1.3373,1.3573,1.2255,1.3363,0.82705,0.71308,0.80948,0.53058,1.2453,0.86511,1.3293,1.3173,0.98488,1.3405,0.00101,0.00101,0.00101
53,1.2627,1.0092,1.3382,1.3506,1.2345,1.3379,0.81735,0.72845,0.81449,0.53304,1.2407,0.8598,1.3215,1.3161,0.97042,1.3428,0.0009902,0.0009902,0.0009902
54,1.2581,0.99606,1.3299,1.3527,1.2168,1.331,0.82932,0.71878,0.81027,0.5333,1.2442,0.87515,1.3238,1.3116,0.98773,1.3352,0.0009704,0.0009704,0.0009704
55,1.2416,0.98382,1.3175,1.3313,1.1975,1.3199,0.85432,0.71924,0.82831,0.54979,1.2192,0.82342,1.3015,1.2867,0.91791,1.3183,0.0009506,0.0009506,0.0009506
56,1.2376,0.96641,1.3142,1.324,1.1864,1.3121,0.85154,0.72479,0.82441,0.54908,1.221,0.84207,1.3069,1.2869,0.9413,1.3158,0.0009308,0.0009308,0.0009308
57,1.2283,0.9588,1.3104,1.3174,1.1688,1.3117,0.839,0.73468,0.82161,0.53764,1.2371,0.8608,1.3171,1.3072,0.96375,1.326,0.000911,0.000911,0.000911
58,1.2055,0.9376,1.2945,1.2975,1.1436,1.3005,0.84377,0.74703,0.83632,0.55795,1.2047,0.81255,1.2901,1.2714,0.90946,1.3004,0.0008912,0.0008912,0.0008912
59,1.2273,0.96111,1.3122,1.3163,1.168,1.3136,0.84909,0.73884,0.83466,0.55577,1.2087,0.81215,1.3031,1.2712,0.9064,1.3094,0.0008714,0.0008714,0.0008714
60,1.2091,0.93627,1.2972,1.2892,1.1446,1.2989,0.86084,0.7448,0.84155,0.56656,1.1885,0.79303,1.2772,1.2567,0.87967,1.2876,0.0008516,0.0008516,0.0008516
61,1.2143,0.9361,1.2989,1.307,1.1448,1.3094,0.84108,0.75768,0.84731,0.57046,1.1755,0.76684,1.271,1.2504,0.84762,1.2921,0.0008318,0.0008318,0.0008318
62,1.1953,0.92241,1.2878,1.2847,1.1255,1.2901,0.85576,0.75322,0.84691,0.56991,1.1814,0.77129,1.276,1.2459,0.86548,1.2906,0.000812,0.000812,0.000812
63,1.1964,0.90873,1.2802,1.2913,1.1045,1.2837,0.8481,0.76536,0.85444,0.57785,1.1677,0.76093,1.2637,1.2373,0.83557,1.2743,0.0007922,0.0007922,0.0007922
64,1.2017,0.91968,1.2924,1.2974,1.1217,1.303,0.87204,0.75496,0.85552,0.57811,1.1692,0.7528,1.2642,1.2423,0.82432,1.2829,0.0007724,0.0007724,0.0007724
