metrics/mAP50(B)
0.82441
0.90195
0.65801
0.77754
0.87506
0.58043
0.74027
0.90799
0.49328
0.87947
0.54994
0.7903
0.89686
0.66777
0.90755
0.4187
0.86476
0.85535
0.7251
0.56386
0.80263
0.73066
0.31349
0.90883
0.66055
0.61257
0.88901
0.66448
0.85444
0.50327
0.63148
0.2479
0.59054
0.73339
0.48106
0.88835
0.44131
0.86124
0.7275
0.902
0.82161
0.91196
0.82831
0.77824
0.8173
0.86042
0.79366
0.87145
0.84691
0.91034
0.88926
0.7685
0.83466
0.79079
0.91091
0.83632
0.88287
0.71038
0.90759
0.84155
0.85552
0.89597
0.7359
0.68606
0.22319
0.81449
0.63529
0.20604
0.61571
0.90128
0.90431
0.88132
0.90093
0.8887
0.62499
0.84731
0.87757
0.58144
0.9063
0.80948
